generated_at_utc,event_id,kickoff_utc,match,forecast_status,home_roster_count,away_roster_count,api_football_fixture_id,api_injury_count,api_lineup_count,api_player_stats_count,risk_news_count,risk_news_terms,availability_status,confidence_penalty,manual_check_required,notes
2026-06-29T18:58:57.034951+00:00,760486,2026-06-28T19:00:00+00:00,South Africa - Canada,after_kickoff_or_unknown,25,25,,0,0,0,0,,espn_rosters_available,0.02,False,"ESPN rosters available, but lineups are not confirmed."
2026-06-29T18:58:57.034951+00:00,760487,2026-06-29T17:00:00+00:00,Brazil - Japan,after_kickoff_or_unknown,25,26,,0,0,0,0,,espn_rosters_available,0.02,False,"ESPN rosters available, but lineups are not confirmed."
2026-06-29T18:58:57.034951+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760488,2026-06-30T01:00:00+00:00,Netherlands - Morocco,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760490,2026-06-30T17:00:00+00:00,Ivory Coast - Norway,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760492,2026-06-30T21:00:00+00:00,France - Sweden,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760491,2026-07-01T01:00:00+00:00,Mexico - Ecuador,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760495,2026-07-01T16:00:00+00:00,England - Congo DR,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760493,2026-07-01T20:00:00+00:00,Belgium - Senegal,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760494,2026-07-02T00:00:00+00:00,United States - Bosnia-Herzegovina,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760496,2026-07-02T23:00:00+00:00,Portugal - Croatia,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760498,2026-07-03T03:00:00+00:00,Switzerland - Algeria,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760500,2026-07-03T22:00:00+00:00,Argentina - Cape Verde,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
2026-06-29T18:58:57.034951+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,0,0,,0,0,0,0,,missing_structured_player_data,0.05,True,No API-Football fixture mapping; use manual lineup check near kickoff.
